Annee;Code_Ville_ou_CASA;Libell__Ville_ou_CASA;Code_DGS_ou_CMUN;Libell__DGS_ou_CMUN;Code_DGA;Libell__DGA;Code_Direction;Libell__Direction;Code_Service;Libell__Service;Code_Unit_;Libell__Unit_;Code_Equipe;Libell__Equipe;Code_budget;Libell__budget;Code_chapitre;Libell__chapitre;Code_nature;Libell__nature;Code_fonction;Libell__fonction;Code_sous_fonction;Libell__sous_fonction;Code_sous_rubrique;Libell__sous_rubrique;Code_antenne;Libell__antenne;Code_op_ration;Libell__op_ration;Code_section;Libell___section;Code_sens;Libell___sens;Service_destinataire;Montant_inscription;Total_r_alis____e_n_s;CO_134D;Consomm__134D;CO_140D;Consomm__140D;CO_DRH;Consomm__DRH;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;21;Chapter 21;;;;;;;;;;; 1;Operation 1;I;Investment budget;R;Incomes;99;532380.58;;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 9;Operation 9;I;Investment budget;R;Incomes;99;96333.7;800.31;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 2;Operation 2;I;Investment budget;R;Incomes;99;652370.12;240297.67;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 4;Operation 4;I;Investment budget;R;Incomes;99;839991;749509.66;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 5;Operation 5;I;Investment budget;R;Incomes;99;4316.16;1816.25;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 6;Operation 6;I;Investment budget;R;Incomes;99;930051.34;92357.3;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 7;Operation 7;I;Investment budget;R;Incomes;99;38903.72;6252.14;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 8;Operation 8;I;Investment budget;R;Incomes;99;266704.79;165305.14;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 3;Operation 3;I;Investment budget;R;Incomes;99;;126261.54;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 10;Operation 10;I;Investment budget;R;Incomes;99;56179.75;4460.74;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 11;Operation 11;I;Investment budget;R;Incomes;99;11581.3;6348.66;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 12;Operation 12;I;Investment budget;R;Incomes;99;696480.91;226286.97;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 13;Operation 13;I;Investment budget;R;Incomes;99;563530.6;21285.93;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 14;Operation 14;I;Investment budget;R;Incomes;99;1864.59;1445.62;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 15;Operation 15;I;Investment budget;R;Incomes;99;873030.93;280159.71;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;40;Chapter 40;;;;;;;;;;; 16;Operation 16;I;Investment budget;R;Incomes;99;505513.59;393085.47;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;41;Chapter 41;;;;;;;;;;; 17;Operation 17;I;Investment budget;R;Incomes;99;;;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;41;Chapter 41;;;;;;;;;;; 18;Operation 18;I;Investment budget;R;Incomes;99;993321.75;62138.29;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;41;Chapter 41;;;;;;;;;;; 19;Operation 19;I;Investment budget;R;Incomes;99;8826.21;3034.62;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;41;Chapter 41;;;;;;;;;;; 20;Operation 20;I;Investment budget;R;Incomes;99;6004.29;4629.29;;;;;;;;
2012;1;Site 1;60;Entity 1;;;5;Business unit 1;99;Service 1;;;;;1;Budget 1;41;Chapter 41;;;;;;;;;;; 21;Operation 21;I;Investment budget;R;Incomes;99;57550.88;7492.82;;;;;;;;
