training;category;sub category;chapter;sub-chapter;item;type;order;duration;tags;link;description;additional_references;level of expertise;authors;number of views;number of like;uid;copyOf;labelPath1;Next1;Prev1;labelPath2;Next2;Prev2;labelPath3;Next3;Prev3
Awareness Path;Motivation;;Q-Day 1;;Video;video;1;06:34;Q-DAY overview Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/01-Motivation/QDAY1-stream.mp4;This is a video from Dr. Smith a world-renown expert in application security. ;http://www.cs.columbia.edu/~hthompson/bio.htm;beginner;Smith;;;uid1;;Awareness Path;uid2;;;;;;;
Awareness Path;Architecture;;Motivation;;Video;video;2;01:23;architecture principles overview Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/01-Architecture-Motivation.mp4;This lecture describes the architecture principles to take into account when designing a software;;beginner;Product Security Training;;;uid2;;Awareness Path;uid3;uid1;;;;;;
Awareness Path;Architecture;;Secure Design;;Video;video;3;00:33;architecture secure design Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/03-Architecture-Secure-Design.mp4;This lecture describes the importance of a secure architecture;;beginner;Product Security Training;;;uid3;;Awareness Path;uid4;uid2;;;;;;
Awareness Path;Architecture;;Secure Design;;Quizz;quizz;4;;Secure Design Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_24D334F61FA4E6AD;This quizz is about the importance of a secure architecture;;beginner;Product Security Training;;;uid4;;Awareness Path;uid5;uid3;;;;;;
Awareness Path;Architecture;;Reasons;;Video;video;5;04:46;architecture reasons Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/04-Architecture-Reasons.mp4;This lecture describes the reasons for insecure applications;;beginner;Product Security Training;;;uid5;;Awareness Path;uid6;uid4;;;;;;
Awareness Path;Architecture;;Reasons;;Quizz;quizz;6;;architecture reasons Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_9F504A6738CD248A;This quiz is about the reasons for insecure applications;;beginner;Product Security Training;;;uid6;;Awareness Path;uid7;uid5;;;;;;
Awareness Path;Architecture;;Secure Application;;Video;video;7;01:16;architecture secure application Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/05-Architecture-Secure-Applications.mp4;This lecture describes how to build secure  application architectures;;beginner;Product Security Training;;;uid7;;Awareness Path;uid8;uid6;;;;;;
Awareness Path;Architecture;;Principles Index;;Video;video;8;00:20;architecture principles Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/06-Architecture-Principles-Index.mp4;This lecture provides an overview of the architecture principles;;beginner;Product Security Training;;;uid8;;Awareness Path;uid9;uid7;;;;;;
Awareness Path;Architecture;;Attack Surface;;Video;video;9;01:13;architecture attack surface Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/07-Architecture-Attack-Surface.mp4;This lecture describes how to minimize the attack surface;;beginner;Product Security Training;;;uid9;;Awareness Path;uid10;uid8;;;;;;
Awareness Path;Architecture;;Security by Obscurity;;Video;video;10;02:03;architecture security-by-obscurity Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/08-Architecture-Security-by-Obscurity.mp4;This lecture is about security by obscurity;;beginner;Product Security Training;;;uid10;;Awareness Path;uid11;uid9;;;;;;
Awareness Path;Architecture;;White list - 1;;Video;video;11;00:26;architecture white-list black-list Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/09-Architecture-WhiteLists.mp4;This lecture describes the concepts of whitelist vs blacklist;;beginner;Product Security Training;;;uid11;;Awareness Path;uid12;uid10;;;;;;
Awareness Path;Architecture;;White List - 2;;Video;video;12;01:13;architecture white-list black-list examples Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/10-Architecture-Whitelist-Examples.mp4;This lecture describes the concepts of whitelist vs blacklist;;beginner;Product Security Training;;;uid12;;Awareness Path;uid13;uid11;;;;;;
Awareness Path;Architecture;;Mediation;;Video;video;13;01:35;architecture mediation Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/11-Architecture-Mediation.mp4;This lecture is about ensuring that all access to the objects are checked;;beginner;Product Security Training;;;uid13;;Awareness Path;uid14;uid12;;;;;;
Awareness Path;Architecture;;Cryptography;;Video;video;14;01:56;architecture cryptography Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/12-Architecture-Cryptography.mp4;This lecture provides an overview of cryptography;;beginner;Product Security Training;;;uid14;;Awareness Path;uid15;uid13;;;;;;
Awareness Path;Architecture;;Least Privilege;;Video;video;15;01:38;architecture least privilege Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/13-Architecture-LeastPriviledge.mp4;This lecture describes the least privilege principle;;beginner;Product Security Training;;;uid15;;Awareness Path;uid16;uid14;;;;;;
Awareness Path;Architecture;;Acceptance;;Video;video;16;01:04;architecture acceptance Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/14-Architecture-Acceptance.mp4;This lecture is about psychological acceptance factor for a secure architecture;;beginner;Product Security Training;;;uid16;;Awareness Path;uid17;uid15;;;;;;
Awareness Path;Architecture;;Secure Defaults;;Video;video;17;01:16;architecture secure default parameter Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/15-Architecture-Secure-Defaults.mp4;This lecture describes how to establish secure default parameters;;beginner;Product Security Training;;;uid17;;Awareness Path;uid18;uid16;;;;;;
Awareness Path;Architecture;;Quizzes;;Quizz;quizz;18;;Architecture Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_A68DF5AB55F89ABB;This is a quiz on security architecture;;beginner;Product Security Training;;;uid18;;Awareness Path;uid19;uid17;;;;;;
Awareness Path;Secure Coding;;Functional Bugs;;Video;video;19;02:01;Secure Coding Functional Bugs Security Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/01-SecureCoding-FunctionalBugs.mp4;This lecture describes the distinction between functional vs security bugs;;beginner;Product Security Training;;;uid19;;Awareness Path;uid20;uid18;;;;;;
Awareness Path;Secure Coding;;Terminology;;Video;video;20;01:38;Secure Coding overview terminology Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/02-SecureCoding-Terminology.mp4;This lecture defines the terminology for secure coding;;beginner;Product Security Training;;;uid20;;Awareness Path;uid21;uid19;;;;;;
Awareness Path;Secure Coding;;CIA;;Video;video;21;01:20;Secure Coding CIA Confidentiality Integrity Availability Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/03-SecureCoding-CIA.mp4;This lecture describes the CIA (Confidentiality, Integrity, Availability) principle ;;beginner;Product Security Training;;;uid21;;Awareness Path;uid22;uid20;;;;;;
Awareness Path;Secure Coding;;CIA;;Quizz;quizz;22;;Secure Coding CIA Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_22B028BE4CF3089B;This is a quiz on the CIA (Confidentiality, Integrity, Availability) principle ;;beginner;Product Security Training;;;uid22;;Awareness Path;uid23;uid21;;;;;;
Awareness Path;Secure Coding;;Developers Security;;Video;video;23;01:09;Secure Coding Developers Security Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/04-SecureCoding-DevelopersSecurity.mp4;This lecture describes security from a developer's point of view;;beginner;Product Security Training;;;uid23;;Awareness Path;uid24;uid22;;;;;;
