nom adhérent;icon;catégorie;adresse;latitude;longitude;téléphone;site web;activité;texte;mots clés;
AB Consulting;TV/pme/AB_Consulting.jpg;TPE-PME;;;;04 93 95 88 56;;;Conseil et formation en organisation et conduite du changement.;Conduite du changement;
ABID AVOCATS;TV/pme/abid-avocats.png;TPE-PME;"35 Rue Gioffredo 
06000 NICE";43.6992359;7.2737;04 93 87 71 06;www.abid-avocat.com;"Nouvelles technologies

La libération des données publiques et l'accompagnement des entreprises dans les projets de recherche collaboratifs constituent les nouveaux champs d'expertise du cabinet.

Propriété intellectuelle

Le Cabinet ABID AVOCATS vous conseille, vous assiste, vous accompagne et défend votre patrimoine immatériel et votre savoir technologique.

Droit des affaires

Le Cabinet ABID AVOCATS intervient dans la création des structures de sociétés et la cession des fonds de commerce.

Fiscalité

Le cabinet peut intervenir dans toutes les phases du déroulement des procédures opposant l'administration fiscale et le contribuable.";"Situé au coeur de la ville de Nice, le Cabinet ABID AVOCATS se compose de trois avocats et d'un juriste spécialisé en propriété intellectuelle. 
L'équipe resserrée, jeune et dynamique conseille et propose un accompagnement personnalisé en droit des nouvelles technologies et de l'innovation, propriétés intellectuelles, droits des affaires, fiscalité, droit de la famille et droit des étrangers.";Propriété intellectuelle, innovation;
ACP QUALIFE;TV/pme/acp-qualife.png;TPE-PME;"120 route des Macarons 
06560 VALBONNE";43.628501;7.0427;;www.acpqualife.com;;"Acpqualife est une SSII qui existe depuis 10 ans répartie sur 3 régions en France

Nos pôles de compétences couvrent les domaines suivants :

-La production
-Le développement mobile
-Le développement exlusivement sur des technologies open source
-Le métier du tests et de la qualification";Expertise, qualification logicielle;
ADIPSYS;TV/pme/Adipsys.png;TPE-PME;"2045 route des Dolines 
06560 VALBONNE";43.623972;7.046971;09 67 19 22 34;www.adipsys.com;"Née en 2007 sous l'impulsion d'une équipe d'ingénieurs issus d'Orange labs, la société ADIPSYS est installée à Sophia Antipolis.
Elle est spécialisée dans l'édition de solutions de gestion de réseaux IP et s'appuie sur une double maîtrise des technologies logicielles et réseau pour concevoir et déployer des solutions innovantes adaptées aux Opérateurs Télécoms et aux intégrateurs.
ADIPSYS est ainsi en mesure de fournir une solution intégrée s'intégrant à de nombreux types de systèmes d'information, et également d'apporter son expertise sur des projets complexes nécessitant des adaptations sur mesure";Adipsys est un éditeur de logiciels de gestion des réseaux qui conçoit des solutions innovantes adaptées aux besoins des professionnels souhaitant mettre en place un accès WiFi public personnalisé et performant;Hébergement cloud privé, Hébergement SaaS, Hotpsot wifi, Réseaux, Sécurité;
AGENCE NOCTA;TV/pme/Agence-nocta.jpg;TPE-PME;"15 rue de la Tour 
06110 LE CANNET";43.573943;7.020722;04 97 08 84 54;http://agence-nocta.fr;;L'agence de communication digitale NOCTA édite le premier outil en ligne permettant de définir sa stratégie de communication à tarif compétitif.;Communication digitale, Logiciels;
AGENCE WACAN;TV/pme/agence-wacan.jpg;TPE-PME;"245 route des Lucioles 
06560 SOPHIA ANTIPOLIS";43.615195;7.047688;04 93 00 01 95;www.wacan.com;"Un nom
Notre nom vient de Wakan Tanka. Dans la tradition amérindienne, cela désigne ce qui est sacré. Wakan Tanka peut être traduit par le “Grand Esprit” ou le “Grand Mystère”. Ce nom amérindien exprime également que le sacré, le divin réside en tout et en toute chose. Et pour nous, le travail c'est sacré !
Une vision
Résolument tournés vers le monde du web depuis plus de 15 ans, nous sommes convaincus qu'un projet réussi et innovant passe par une expertise et une connaissance du digital parfaite ainsi qu'une relation de confiance entre l'agence et le client.
Des valeurs
Notre agence de communication digitale repose sur des valeurs humanistes que sont l'écoute, la tolérance, le respect de l'autre, mais aussi sur la créativité et la volonté de satisfaction totale du client.
Des idées
Mettre à disposition nos meilleures idées et notre savoir-faire au quotidien est notre challenge ! C'est un cocktail d'innovation, de tendances et de solutions personnalisées que notre équipe pluridisciplinaire met en œuvre pour vous proposer des projets sur mesure !";Agence de communication digitale;Communication digitale, application mobile, social média, e-commerce, communication institutionnelle;
AGILITECH;TV/pme/agilitech.jpg;TPE-PME;"6 rue Soutrane 
06560 SOPHIA ANTIPOLIS";43.623386 ;7.047021;04 22 13 62 50;www.agilitech.fr;"L'idée consiste à faire du service autrement en considérant que le capital et la richesse de l'entreprise sont les clients et les hommes. Faire de cette relation tripartite une source de valeurs pour tous est notre socle fondateur.
Nos valeurs sont celles de l'agilité :
“Individus et interactions” VS “Processus et outils”
Ce sont les individus qui font la valeur du travail accompli, ce sont donc eux que l'on doit privilégier.

“Logiciel qui fonctionne” VS “Documentation exhaustive”
Les processus lourds génèrent une documentation qui se veut exhaustive avec tous ses inconvénients : ambiguïté du langage, coût de la rédaction, coût du maintien en accord avec la réalité, etc.

“Collaboration du client” VS “Négociation de contrat”
Il faut sortir de la guerre client/fournisseur et penser en équipe qui veut atteindre un but commun : réussir le projet.

“Réponse au changement” VS “Suivi d'un plan prédéfini”
Un plan prédéfini à tendance à nous rendre autistes aux événements qui surviennent.";Agilitech est une jeune ESN 3.0 implantée dans la technopole de Sophia Antipolis;;
ALL4TEST;TV/pme/all4test.jpg;TPE-PME;"2085 route des Dolines
CS 10065 
06902 VALBONNE
SOPHIA ANTIPOLIS CEDEX";43.623986;7.047471;04 83 44 41 25;www.all4test.fr;;ALL4TEST est une société de consulting française spécialisée dans le domaine du test et de la qualité logicielle depuis 2006 et habilitée crédit impôt recherche (CIR);Consulting, audit;
ALTEA GROUPE EXPERTS;TV/pme/Altea.png;TPE-PME;"154 avenue de Cannes
Espace Mandelieu Bât A 
06210 MANDELIEU LA NAPOULE";43.541233;6.93689;04 93 64 48 69;www.altea-experts.com;"Altéa, pôle d'ingénierie touristique
Organisé sous forme de G.I.E. et basé à Mandelieu (France – 06), Altéa regroupe trois structures fondatrices :
Vianova – Valorisation touristique
Vianova est un cabinet d'étude et de conseil spécialisé sur la valorisation des sites et territoires touristiques, sur la mise en place de politique du tourisme durable et les stratégies de marketing et d'innovations. Il intervient auprès des professionnels du tourisme et des territoires.
Gilles Martinod – Aménagement paysager
Le bureau de paysage Gilles Martinod est spécialisé dans la valorisation paysagère, la scénographie, l'aménagement et la signalétique des sites touristiques. Ses interventions vont du diagnostic préalable jusqu'à la réception des travaux.
Authentis – Conseil et Formation
Authentis est un centre de formation et un cabinet de conseil à destination des professionnels du tourisme (Hébergeurs, restaurateurs, office de tourisme, Apn, lieux de visite…) spécialisé dans l'accompagnement à la qualification au travers d'études, d'audits, de conseil et de formation, dont le e-learning.";Altéa est un cabinet d'étude et de conseil en tourisme, composé de consultants spécialistes travaillant avec des approches innovantes pour définir les stratégies et les opérations du tourisme de demain.;Ingénierie touristique, Valorisation touristique durable, Aménagement paysager, Conseil et Formation;
BAYLIBRE SAS;TV/pme/Baylibre.png;TPE-PME;"753 Avenue de la Colle Le Renoir 
Les Hameaux du Soleil 
06270 VILLENEUVE LOUBET";43.657892 ;7.122337;09 72 49 50 12;www.baylibre.com;;Société spécialisée dans le Linux embarqué et la gestion de l'énergie dans ce domaine;Linux, consulting;
BEEPEERS;TV/pme/Beepeers.jpg;TPE-PME;"400 Rue Henri Laugier 
06600 ANTIBES";43.606724 ;7.075316;04 92 91 86 95;www.beepeers.com;;Développement de plate-formes de réseaux sociaux applications mobiles pour entreprise.;Applications mobiles, tableaux de bord, statistiques, accompagnement;
BEMORE;TV/pme/m-planet.jpg;TPE-PME;"E. Space Park – Bât. D  
45, Allée des Ormes 
06250 MOUGINS";43.611098;7.014127;04 92 92 91 70;"www.m-planet.fr
www.beemore.fr";"Pour répondre aux différents besoins des entreprises, nous proposons des activités de conseil et de support pour aider à planifier, déployer, sécuriser, gérer et optimiser l'environnement IT.

Nos clients, grands comptes et starts up sont des acteurs clés du marché économique national et international.  Nous les accompagnons dans leur développement en participant à la réalisation de projets innovants et complexes liés aux systèmes d'information.

Pour ce faire, nous proposons 4 offres de services :

Consulting
Assistance Technique
Recrutement
Pré recrutement

Société à taille humaine, nos valeurs ajoutées sont réactivité, savoir-faire, implication, agilité et proximité. Appliquées par tous nos collaborateurs et pour chacun de nos partenaires et clients, elles sont les facteurs clés de notre croissance et notre réussite.

Taille de l'effectif à ce jour est de 180 collaborateurs";Crée en 2001, M-PLANET est une société du Groupe BeMore spécialisée dans les ressources humaines au service principalement des Systèmes d'Information et de l'Ingénierie;Ingéniérie, Outsourcing, Consulting;
BLUE WAVE SOFTWARE;TV/pme/bws.png;TPE-PME;"15 avenue de Grande Bretagne 
98000 MONACO";43.743404 ;7.428911;+377 93 10 50 30;www.bluewave.mc;"Blue Wave Software est un éditeur et intégrateur spécialisé dans la mise en œuvre de solutions de Business Intelligence, de Gestion de la Relation Client et de traitement des bases de données ou modules associés (sites institutionnels, portails, rapports, interfaces, liens, call-center, intégrations avec des applications centrales ou back-office).
L'entreprise a réinvesti de manière permanente dans la technologie, les infrastructures et alliances qui accompagnent les nouvelles technologies.
Partenaire MICROSOFT®, Blue Wave Software bénéficie d'une collaboration étroite avec eux, en particulier au niveau du support technique et des versions béta de leurs nouvelles solutions ou versions qui nous parviennent en avance";Blue Wave Software est un éditeur et intégrateur spécialisé dans la mise en œuvre de solutions de Business Intelligence, de Gestion de la Relation Client et de traitement des bases de données ou modules associés (sites institutionnels, portails, rapports, interfaces, liens, call-center, intégrations avec des applications centrales ou back-office);Logiciels;
BRANDSILVER;TV/pme/brandsilver.png;TPE-PME;"146 ter Chemin du tacon 
06610 LA GAUDE";43.7328067;7.146172;06 41 98 21 46;www.brandsilver.fr;"BrandSilver accompagne les startups et entreprises innovantes dans leur création et stratégie de marque.
BrandSilver conçoit des identités uniques et fortes, des messages clairs et pertinents qui facilitent la compréhension et l'adoption de vos innovations.
Définir votre territoire de marque, mettre en cohérence 360 tous vos supports de communication, BrandSilver fait de votre marque un puissant levier de développement pour :
• Séduire vos investisseurs
• Aborder en confiance vos marchés
• Soutenir la compétition internationale
• Protéger vos innovations
• Stimuler vos équipes
• Attirer les talents
• Augmenter la capitalisation de votre société.
Silver is Gold.";BrandSilver accompagne les startups et entreprises innovantes dans leur création et stratégie de marque;BrandBootCamp, recherche de financement, test de marché, industrialisation, accès à l’international;
BUSIT;TV/pme/busit.png;TPE-PME;"205 Promenade des Anglais 
06200 NICE";43.686367;7.237293;04 89 97 36 50;www.busit.com;;Busit, Solution for IoT, M2M, applications, Cloud services management and interoperability;Cloud, Interopérabilité, IoT, M2M;
CABINET RIBEIL;TV/pme/Cabinet-Ribeil.jpg;TPE-PME;"Cabinet Alexandre RIBEIL 
19 rue Scaliero 
06300 NICE";43.70285;7.284723;04 22 13 21 4;www.ribeil.com;"Expertise :

Compétences techniques notables: Télécommunications, Informatique, Electronique, Mécanique, Machines électriques, Electricité, Physique et Optique.
Gestion de portefeuilles et stratégie liée aux brevets notamment stratégie de dépôts
Expertise dans la propriété Intellectuelle
Aptitude à expliquer la propriété intellectuelle

Le Cabinet Alexandre RIBEIL vous conseille dans tous les domaines relatifs à la propriété intellectuelle, notamment :

Validité des brevets, brevetabilité des inventions: recherche des arts antérieurs et opinion
Rédaction de brevets en Français et en Anglais: Cette étape permet de déterminer l'objet exact de votre brevet à protéger en fonction de votre business et de votre stratégie.
Dépôt de brevets et suivi des étapes pour obtenir la délivrance: capacité à vous représenter pour tous les actes auprès de l'office des brevets français (INPI), de l'office européen (OEB) et de l'office mondiale de la propriété intellectuelle (OMPI) pour les demandes internationales de brevet PCT.
Litiges: le cabinet Alexandre RIBEIL peut vous assister efficacement pendant la période de pré litige. Pendant la période de litige, le Cabinet pourra vous présenter à des avocats spécialisés avec lesquels le Cabinet échangera pendant la durée du litige.
Opposition: la validité d'un brevet Européen est attaquable pendant les 9 mois qui suivent sa délivrance. Cette opération réalisée par un Mandataire Européen peut être une bonne opportunité pour éviter un litige couteux et risqué.
Conseil sur la stratégie de dépôt et d'extension: au cours des 12 mois qui suivent le dépôt du brevet, il peut être intéressant d'étendre votre brevet (i.e. déposer le brevet dans des pays autres que celui du premier dépôt). A cet effet, le Cabinet pourra vous présenter des correspondants nationaux. Egalement, le Cabinet peut déposer des demandes de brevets internationales.
Liberté d'exploitation: afin de déterminer si votre design/concept/produit reproduit les brevets de tiers. Des solutions de contournement peuvent également vous être proposées.
Opinion légale: plus généralement, le cabinet peut également vous apporter une opinion juridique dans tous ses domaines de compétences.";Cabinet de Conseils en Propriété Industrielle;Propriété industrielle;
CARTELMATIC;TV/pme/cartelmatic.jpg;TPE-PME;"40 rue du Bignon 
35135 CHANTEPIE";48.099437 ;-1.616665;02 99 12 72 12;www.cartelmatic.com;;"Matériel et solutions d'accueil numérique :
Bornes interactives
Vitrines interactives
Mobiliers urbains communicants
Hot Spot et WiFi en ville
E-tourisme et mobilité
Signalisation innovante
Administration électronique";Médias numériques, Développement des territoires;
CATALYZE;TV/pme/Catalyze.jpg;TPE-PME;"Les Algorithmes Bâtiment A2000 
Route des Lucioles
06410 BIOT";43.616523; 7.064126;06 15 93 09 14;;;Conseil et accompagnement en développement (RH et commercial);Conseil, accompagnement en développement;
CDS SOFT;TV/pme/CLOUD-CONNECTE.jpg;TPE-PME;"1027 avenue Dr Julien Lefebvre 
06270 VILLENEUVE LOUBET";43.628492;7.128442;04 92 02 45 45;www.cdssoft.fr;;"CDS SOFT est, au sein du Groupe Studiel, le pôle de compétences IT :
– Etude et Développement, Maîtrise d'Ouvrage
– Exploitation et Production
– Edition et Distribution de logiciels innovants
CDS SOFT propose des solutions dans le consulting IT, la réalisation de projets au forfait, le recrutement ou la pré-embauche.";Études, développements logiciel;
CLOUD CONNECTE;TV/pme/CDS-SOFT.jpg;TPE-PME;"1047 route des Dolines 
Allée Pierre Ziller 
06560 SOPHIA ANTIPOLIS";43.627082 ;7.0409;06 60 31 31 55;www.cloud-connecte.com;;Technologie d'authentification forte pour GSM / samartphones sur supports interactifs connectés.;Cloud, contrôle interactif;
