Description;Date;Categorie;Sujet;Slides;Vues;URL;icon
;;CJP;;;;;TV/icones/videos_CJP.png
Bilan de l'édition 2014-2015 du Challenge Jeunes Pousses (13ème édition).;2015.04.21;CJP;Bilan 13ème édition du Challenge Jeunes Pousses;20;1236;http://fr.slideshare.net/TVALLEY/bilan-13me-dition-du-challenge-jeunes-pousses;
;;Divers;;;;;TV/icones/miscellaneous.png
NoSQL panorama - Jean Seiler Softeam;2015.10.30;Divers;Panorama NoSQL;32;597;http://fr.slideshare.net/TVALLEY/nosql-panorama-jean-seiler-softeam;
Energy Harvesting;2011.02.09;Divers;Energy Harvesting;28;1721;http://fr.slideshare.net/TVALLEY/energy-harvesting;
Accelerating innovation globally prof. dr. Mark Harris Intel - L'Internet du Futur Telecom Valley;2010.10.15;Divers;Accelerating innovation globally prof. dr. Mark Harris Intel;41;1021;http://fr.slideshare.net/TVALLEY/accelerating-innovation-globally-prof-dr-mark-harris-intel-linternet-du-futur-telecom-valley;
"Dans le cadre de l'évenement ""L'Internet du Futur...Mais quel Futur ? organisé par l'association Telecom Valley, Michel Riguidel, professeur à Telecom ParisTech a donné une conférence sur ""les réseaux du futur"". Découvrez l'ensemble de cette journée de conférence sur le site http://www.telecom-valley.fr/util/news_detail.fr.htm?newsid=6660";2010.10.14;Divers;Presentation Michel Riguidel L'Internet du futur;67;1510;http://fr.slideshare.net/TVALLEY/presentation-michel-riguidel-linternet-du-futur-telecom-valley;
;;Livre blanc;;;;;TV/icones/white paper.png
Portant sur le sujet TIC, Handicap et Tourisme et préfacé par Emmanuelle Duffaun Sous-directrice du tourisme à la Direction Générale des Entreprises, il est le fruit d’une réflexion collective, impliquant de nombreux bénévoles, experts du Tourisme, des TIC, du Droit et de la Silver Economy*.;2015.08.14;Livre blanc;Livre blanc TIC, Handicap et Tourisme – 2014;55;1106;http://fr.slideshare.net/TVALLEY/livre-blanc-tic-tourisme-et-handicap-2014;
Proposition valeur PME;2014.12.10;Livre blanc;Proposition valeur PME;2;662;http://fr.slideshare.net/TVALLEY/plaquette-tv-2014-pme;
Proposition valeur Académiques;2014.12.10;Livre blanc;Proposition valeur Académiques;2;624;http://fr.slideshare.net/TVALLEY/plaquette-tv-2014-acadmiques;
Proposition valeur grands Groupes;2014.12.10;Livre blanc;Proposition valeur grands Groupes;2;634;http://fr.slideshare.net/TVALLEY/plaquette-tv-2014-grands-groupes;
Livre blanc Open Data, TIC et Tourisme;2012.10.25;Livre blanc;Livre blanc Open Data, TIC et Tourisme;71;9698;http://fr.slideshare.net/TVALLEY/livre-blanc-open-data-tic-et-tourisme;
Livre blanc integration et publication de logiciels opensource;2010.12.01;Livre blanc;Livre blanc integration et publication de logiciels opensource;61;6463;http://fr.slideshare.net/TVALLEY/livre-blanc-v10;
;;Rapport d'activité;;;;;TV/icones/report.png
Rapport d'activité 2015 de l'association Telecom Valley, Animateur Azuréen du Numérique.;2016.03.16;Rapport d'activité;Rapport d'activité Telecom Valley 2015;21;608;http://fr.slideshare.net/TVALLEY/rapport-dactivit-telecom-valley-2015;
Rapport d'activité de SoFAB, le FabLab de Sophia Antipolis porté par Telecom Valley.;2016.04.08;Rapport d'activité;Rapport d'activité SoFAB 2014-2015;11;648;http://fr.slideshare.net/TVALLEY/rapport-dactivit-sofab-20142015;
Rapport d'Activité 2014 de Telecom Valley;2015.04.24;Rapport d'activité;Rapport d'Activité 2014;24;973;http://fr.slideshare.net/TVALLEY/rapport-dactivit-2014;
Rapport d'Activité 2013;2014.04.03;Rapport d'activité;Rapport d'Activité 2013;24;1124;http://fr.slideshare.net/TVALLEY/ra-2013-final;
Rapport d'Activité 2012;2013.04.15;Rapport d'activité;Rapport d'Activité 2012;24;1144;http://fr.slideshare.net/TVALLEY/rapport-activite-2012-web;
Rapport d'Activité 2011;2012.03.30;Rapport d'activité;Rapport d'Activité 2011;30;2475;http://fr.slideshare.net/TVALLEY/rapport-dactivit-2011-12223692;
;;Revue de presse;;;;;TV/icones/presse.png
Publications presse et web sur les actions de Telecom Valley en Novembre 2015.;2016.04.08;Revue de presse;Telecom Valley - Novembre 2015;23;113;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-novembre-2015;
Publications presse et web sur les actions de Telecom Valley en Août 2015;2016.04.08;Revue de presse;Telecom Valley - Août 2015;2;161;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-aot-2015;
Publications presse et web sur les actions de Telecom Valley en Juin 2016.;2016.06.30;Revue de presse;2016 Juin;21;116;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-juin-2016;
Publications presse et web sur les actions de Telecom Valley en Mai2016.;2016.05.30;Revue de presse;2016 Mai;21;96;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-mai-2016;
Publications presse et web sur les actions de Telecom Valley en Avril 2016.;2016.04.08;Revue de presse;2016 Avril;27;292;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-avril-2016;
Publications presse et web sur les actions de Telecom Valley en Mars 2016.;2016.04.08;Revue de presse;2016 Mars;30;227;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-mars-2016;
Publications presse et web sur les actions de Telecom Valley en Février 2016.;2016.04.08;Revue de presse;2016 Février;35;321;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-fvrier-2016;
Publications presse et web sur les actions de Telecom Valley en Janvier 2016.;2016.04.08;Revue de presse;2016 Janvier;17;268;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-janvier-2016;
Publications presse et web sur les actions de Telecom Valley en décembre 2015.;2016.04.08;Revue de presse;2015 Décembre;20;200;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-dcembre-2015;
Publications presse et web sur les actions de Telecom Valley en octobre 2015.;2016.04.08;Revue de presse;2015 Octobre;37;206;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-octobre-2015;
Publications presse et web sur les actions de Telecom Valley en septembre 2015.;2016.04.08;Revue de presse;2015 Septembre;28;197;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-septembre-2015;
Publications presse et web sur les actions de Telecom Valley en juillet 2015.;2016.04.08;Revue de presse;2015 Juillet;12;163;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-juillet-2015;
Publications presse et web sur les actions de Telecom Valley en Juin 2015;2016.04.08;Revue de presse;2015 Juin;26;122;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-juin-2015;
Publications presse et web sur les actions de Telecom Valley en mai 2015.;2016.04.08;Revue de presse;2015 Mai;20;112;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-mai-2015;
Publications presse et web sur les actions de Telecom Valley en mars 2015;2016.04.08;Revue de presse;2015 Mars;22;115;http://fr.slideshare.net/TVALLEY/revue-presse-telecom-valley-mars-2015;
Publications presse et web sur les actions de Telecom Valley en février 2015;2016.04.08;Revue de presse;2015 Février;10;106;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-fvrier-2015;
Publications presse et web sur les actions de Telecom Valley en avril 2015;2016.04.08;Revue de presse;2015 Avril;34;152;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-avril-2015;
Publications presse et web sur les actions de Telecom Valley en Janvier 2015;2016.04.08;Revue de presse;2015 Janvier;24;108;http://fr.slideshare.net/TVALLEY/revue-de-presse-telecom-valley-janvier-2015;
Communiqué de presse élection Pascal Flamand (Janua) à la Présidence 2015-2017 de Telecom Valley;2015.04.01;Revue de presse;Pascal Flamand (Janua) à la présidence de telecom valley;3;485;http://fr.slideshare.net/TVALLEY/communiqu-de-presse-pascal-janua-la-prsidence-de-telecom-valley;
Lancement communautaire de SoFAB;2015.02.12;Revue de presse;La communauté au rdv à l'ouverture de SoFAB;1;267;http://fr.slideshare.net/TVALLEY/c-communaut-au-rdv-louverture-de-so-fab;
Revue de presse de SophiaConf2014;2014.08.05;Revue de presse;SophiaConf 2014;44;432;http://fr.slideshare.net/TVALLEY/revue-de-presse-sophiaconf2014-37686448;
Communiqué de presse- Retour sur Morning de telecom valley recrutement et réseaux sociaux;2012.10.30;Revue de presse;Retour sur Morning de telecom valley recrutement et réseaux sociaux;2;744;http://fr.slideshare.net/TVALLEY/communiqu-de-presse-retour-sur-morning-de-telecom-valley-recrutement-et-rseaux-sociaux;
Communiqué de presse - Post finale du CJP 2012;2012.10.30;Revue de presse;Post final du CJP 2012;2;403;http://fr.slideshare.net/TVALLEY/communiqu-de-presse-post-finale-du-cjp-2012;
Communiqué de Presse - Telecom Valley publie un livre blanc open data, tic et tourisme;2012.10.30;Revue de presse;Telecom Valley publie un livre blanc open data, tic et tourisme;2;791;http://fr.slideshare.net/TVALLEY/communiqu-de-presse-telecom-valley-publie-un-livre-blanc-open-data-tic-et-tourisme;
;;SoFab;;;;;TV/icones/videos_sofab.png
Support de présentation du lancement de SoFAB le 29 octobre 2014.;2014.11.04;SoFab;Lancement de SoFAB;10;1614;http://fr.slideshare.net/TVALLEY/lancement-de-sofab;
Dossier de présentation SoFAB;2014.10.21;SoFab;Dossier de présentation SoFAB;38;2468;http://fr.slideshare.net/TVALLEY/dossier-de-prsentation-sofab;
;;Sophia Conf 2010;;;;;TV/icones/sophia conf.png
Présentation Bootstrap de Patrick Duverger à la TECH CONF #3 Telecom Valley du 11 décembre 2014.;2014.12.11;Sophia Conf 2010;Présentation Bootstrap;13;642;http://fr.slideshare.net/TVALLEY/20141211-tech-conf-3-prsentation-bootstrap;
"SophiaConf2010 Présentation des Retours d'expériences de la Conférence du 08 Juillet - HTML 5, une plateforme contemporaine pour le Web : Stefano Crosta, Chief Technical Officer de SLICE FACTORY ; Raphaël Troncy, Maître de Conférences à Eurecom.";2010.07.19;Sophia Conf 2010;Retours d'expériences HTML 5 : une plateforme contemporaine pour le Web;26;902;http://fr.slideshare.net/TVALLEY/retours-dexpriences-confrence-html-5;
Conférence Telecom Valley du 05 Juillet 2010 - Android : Tout savoir sur l'évolution des 12 derniers mois et de l'année à venir par Arnaud FARINE et trois retours d'experiences Filip Gluszak, CEO and co-founder de GRIDPOCKET, Philippe Gibert, Ingénieur R&D d’Orange Labs, Laurent Gomez, Senior Researcher, responsable des activités mobiles à SAP Research France et Stephane Dupin, Chercheur, Responsable des activités Android à SAP Research France;2010.07.13;Sophia Conf 2010;Android : Tout savoir sur l'évolution à venir par Arnaud Farine;47;1195;http://fr.slideshare.net/TVALLEY/sophiaconf-0507-android;
"SophiaConf 2010 Conférence du 30 Juin 2010 à Polytech'Nice Sophia sur la Gestion des identités et Sécurisation des services Web : Réalités et Perspectives par Hubert Le Van Gong et trois retours d'expériences : Maitre Pascal Agosti, Cabinet Caprioli&Associés; Frédéric AIME, Chief Technical Officer de JANUA; Florent Peyraud, CEO et fondateur de TRYPHON";2010.07.14;Sophia Conf 2010;Gestion des identités et Sécurisation des services Web : Réalités et Perspectives par Hubert Le Van Gong;98;1747;http://fr.slideshare.net/TVALLEY/sophiaconf-2010-securisation-du-web;
SophiaConf 2010 Conférence du 08 Juillet - Méthodologie de gestion de projet agile : SCRUM par Claude AUBRY et deux retours d'experiences : Bertrand Gorge, Chief Technical Officer d’EPISTEMA Implémentation de Scrum dans une start-up, Paul el KHOURY, Researcher Security & Trust and Member of the SAP Product Security Response Team;2010.07.13;Sophia Conf 2010;Méthodologie de gestion de projet agile : SCRUM par Claude AUBRY;43;791;http://fr.slideshare.net/TVALLEY/sophia-conf2010-confrence-scrum-4746913;
;;Sophia Conf 2014;;;;;TV/icones/sophia conf.png
